

央视&地方,#genre#

CCTV-1,http://223.95.198.3:8000/hls/1/index.m3u8
CCTV-2,http://223.95.198.3:8000/hls/2/index.m3u8
CCTV-3,http://223.95.198.3:8000/hls/3/index.m3u8
CCTV-4,http://223.95.198.3:8000/hls/4/index.m3u8
CCTV-5,http://223.95.198.3:8000/hls/5/index.m3u8
CCTV-6,http://223.95.198.3:8000/hls/6/index.m3u8
CCTV-7,http://223.95.198.3:8000/hls/7/index.m3u8
CCTV-8,http://223.95.198.3:8000/hls/8/index.m3u8
CCTV-9,http://223.95.198.3:8000/hls/9/index.m3u8
CCTV-10,http://223.95.198.3:8000/hls/10/index.m3u8
CCTV-11,http://223.95.198.3:8000/hls/11/index.m3u8
CCTV-12,http://223.95.198.3:8000/hls/12/index.m3u8
CCTV-13,http://223.95.198.3:8000/hls/13/index.m3u8
CCTV-14,http://223.95.198.3:8000/hls/14/index.m3u8
CCTV-15,http://223.95.198.3:8000/hls/15/index.m3u8
CCTV-16,http://223.95.198.3:8000/hls/16/index.m3u8
CCTV-17,http://223.95.198.3:8000/hls/17/index.m3u8
北京卫视,http://223.95.198.3:8000/hls/21/index.m3u8
深圳卫视,http://223.95.198.3:8000/hls/23/index.m3u8
湖南卫视,http://223.95.198.3:8000/hls/25/index.m3u8
江苏卫视,http://223.95.198.3:8000/hls/28/index.m3u8
浙江卫视,http://223.95.198.3:8000/hls/24/index.m3u8
东方卫视,http://223.95.198.3:8000/hls/22/index.m3u8
天津卫视,http://223.95.198.3:8000/hls/26/index.m3u8
河北卫视,http://223.95.198.3:8000/hls/27/index.m3u8
山东卫视,http://223.95.198.3:8000/hls/29/index.m3u8
安徽卫视,http://223.95.198.3:8000/hls/30/index.m3u8
辽宁卫视,http://223.95.198.3:8000/hls/34/index.m3u8
四川卫视,http://223.95.198.3:8000/hls/37/index.m3u8
广西卫视,http://223.95.198.3:8000/hls/39/index.m3u8
海南卫视,http://223.95.198.3:8000/hls/41/index.m3u8
甘肃卫视,http://223.95.198.3:8000/hls/42/index.m3u8
云南卫视,http://223.95.198.3:8000/hls/45/index.m3u8
CCTV-4K,http://223.95.198.3:8000/hls/18/index.m3u8
广东卫视,http://223.95.198.3:8000/hls/38/index.m3u8
湖北卫视,http://223.95.198.3:8000/hls/32/index.m3u8
黑龙江卫视,http://223.95.198.3:8000/hls/33/index.m3u8
吉林卫视,http://223.95.198.3:8000/hls/35/index.m3u8
重庆卫视,http://223.95.198.3:8000/hls/36/index.m3u8
江西卫视,http://223.95.198.3:8000/hls/40/index.m3u8
陕西卫视,http://223.95.198.3:8000/hls/43/index.m3u8
云南卫视,http://223.95.198.3:8000/hls/44/index.m3u8
贵州卫视,http://223.95.198.3:8000/hls/46/index.m3u8
青海卫视,http://223.95.198.3:8000/hls/47/index.m3u8
浙江少儿,http://223.95.198.3:8000/hls/52/index.m3u8
凤凰中文,http://223.95.198.3:8000/hls/20/index.m3u8
安徽卫视,http://39.164.164.132:9901/tsfile/live/1022_1.m3u8
甘肃卫视,http://39.164.164.132:9901/tsfile/live/1025_1.m3u8
贵州卫视,http://39.164.164.132:9901/tsfile/live/1027_1.m3u8
海南卫视,http://39.164.164.132:9901/tsfile/live/1028_1.m3u8
湖北卫视,http://39.164.164.132:9901/tsfile/live/1031_1.m3u8
青海卫视,http://39.164.164.132:9901/tsfile/live/1037_1.m3u8
山西卫视,http://39.164.164.132:9901/tsfile/live/1038_1.m3u8
云南卫视,http://39.164.164.132:9901/tsfile/live/1043_1.m3u8
广东卫视,http://120.198.95.220:9901/tsfile/live/1006_1.m3u8
山东卫视,http://112.123.243.37:50085/tsfile/live/0122_1.m3u8
海南卫视,http://183.223.157.33:9901/tsfile/live/1008_1.m3u8
海南卫视,http://111.221.137.234:44330/tsfile/live/0117_1.m3u8
陕西卫视,http://222.169.85.8:9901/tsfile/live/0136_1.m3u8
深圳少儿,http://120.198.95.220:9901/tsfile/live/1034_1.m3u8


CCTV-1,http://39.164.138.145:8899/hls/1/index.m3u8
北京卫视,http://39.164.138.145:8899/hls/36/index.m3u8
CCTV-1,http://39.164.138.145:8899/hls/21/index.m3u8
CCTV-2,http://39.164.138.145:8899/hls/2/index.m3u8
东方卫视,http://39.164.138.145:8899/hls/34/index.m3u8
CCTV-3,http://39.164.138.145:8899/hls/3/index.m3u8
浙江卫视,http://39.164.138.145:8899/hls/33/index.m3u8
CCTV-4,http://39.164.138.145:8899/hls/4/index.m3u8
江苏卫视,http://39.164.138.145:8899/hls/35/index.m3u8
CCTV-5+,http://39.164.138.145:8899/hls/18/index.m3u8
湖南卫视,http://39.164.138.145:8899/hls/46/index.m3u8
